Fecha,Jugador,Cofre
2026-03-02 00:22:19,Boy Name.,Monstruo heroico de nivel 17
2026-03-02 00:22:23,alejandra,-Cripta de nivel 10
2026-03-02 00:22:30,Mared,Cripta de nivel 5
2026-03-02 00:22:35,Boy Name.,Monstruo heroico de nivel 16
2026-03-02 00:22:39,Boy Name.,Monstruo heroico de nivel 16
2026-03-02 00:22:43,alejandra,Cripta de nivel 10
2026-03-02 00:22:47,Boy Name.,Monstruo heroico de nivel 16
2026-03-02 00:22:50,Boy Name.,Monstruo heroico de nivel 17
2026-03-02 00:22:54,Boy Name.,Monstruo heroico de nivel 17
2026-03-02 00:22:58,Moprel,"Cripta de nivel 15,"
2026-03-02 00:23:04,Moprel,-Cripta de nivel 20
2026-03-02 00:23:09,Moprel,-Cripta de nivel 20
2026-03-02 00:23:12,Mared,Ciudadela de nivel 15
2026-03-02 00:23:16,Burilen,-Cripta rara de nivel 20
2026-03-02 00:23:20,Moprel,-Cripta rara de nivel 20
2026-03-02 00:23:23,Moprel,Monstruo heroico de nivel 17
2026-03-02 00:23:27,Boy Name.,-Ciudadela de nivel 10
2026-03-02 00:23:30,Boy Name.,-Ciudadela de nivel 10
2026-03-02 00:23:35,Boy Name.,-Ciudadela de nivel 15
2026-03-02 00:23:39,Boy Name.,-Ciudadela de nivel 15
2026-03-02 00:23:43,Boy Name.,-Ciudadela de nivel 15
2026-03-02 00:23:47,Boy Name.,-Ciudadela de nivel 10
2026-03-02 00:23:50,Burilen,Ciudadela de nivel 20
2026-03-02 00:23:54,Burilen,Monstruo heroico de nivel 17
2026-03-02 00:23:57,Gratius,Cripta de nivel 10
2026-03-02 00:24:02,Mauro,Cripta de nivel 25
2026-03-02 00:24:07,Mauro,Cripta de nivel 25
2026-03-02 00:24:11,Boy Name.,-Ciudadela de nivel 10
2026-03-02 00:24:15,Boy Name.,-Ciudadela de nivel 10
2026-03-02 00:24:19,Boy Name.,-Ciudadela de nivel 20
2026-03-02 00:24:26,Boy Name.,Monstruo heroico de nivel 18
2026-03-02 00:24:30,Gustavo,Cripta rara de nivel10
2026-03-02 00:24:34,Gustavo,Cripta de nivel 10
2026-03-02 00:24:37,berrygoblina.,Cripta de nivel 20
2026-03-02 00:24:40,berrygoblina.,Cripta de nivel 15
2026-03-02 00:24:44,Gustavo,Cripta de nivel 20
2026-03-02 00:24:49,berrygoblina.,Cripta de nivel 10
2026-03-02 00:24:52,berrygoblina.,Cripta de nivel 15
2026-03-02 00:24:54,berrygoblina.,Cripta de nivel 20
2026-03-02 00:24:59,berrygoblina.,Cripta de nivel 20
2026-03-02 00:25:05,berrygoblina.,Cripta de nivel 20
2026-03-02 00:25:15,Dardaen,Cripta de nivel 10
2026-03-02 00:25:19,Dardaen,Cripta de nivel 10
2026-03-02 00:25:23,Dardaen,Cripta de nivel 10
2026-03-02 00:25:26,Dardaen,Cripta de nivel 10
2026-03-02 00:25:31,nn,
2026-03-02 11:09:13,boy oh boy,Cripta de nivel 15
2026-03-02 11:09:29,boy oh boy,Cripta de nivel 10
2026-03-02 11:09:47,BuenSolonius,Cripta de nivel 10
2026-03-02 11:10:11,BuenSolonius,Cripta de nivel 5
2026-03-02 11:10:41,Davatoloco,Cripta épica de nivel 20
2026-03-02 11:11:09,BuenSolonius,Cripta de nivel 15
2026-03-02 11:11:29,Davatoloco,Cripta de nivel 20
2026-03-02 11:11:47,BuenSolonius,Cripta de nivel 10
2026-03-02 11:12:08,boy oh boy,Cripta de nivel 10
2026-03-02 11:12:36,Davatoloco,Cripta de nivel 20
2026-03-02 11:13:01,Boy Name.,-Ciudadela de nivel 20
2026-03-02 11:13:16,BuenSolonius,Cripta de nivel 15
2026-03-02 11:13:32,BuenSolonius,Cripta de nivel 15
2026-03-02 11:15:11,BuenSolonius,Cripta de nivel 15
2026-03-02 11:15:17,BuenSolonius,Cripta de nivel 10
2026-03-02 11:15:22,BuenSolonius,Cripta de nivel 5
2026-03-02 11:15:27,BuenSolonius,-Cripta rara de nivel 20
2026-03-02 11:15:33,Boy Name.,Cripta rara de nivel 15
2026-03-02 11:15:38,Boy Name.,-Cripta rara de nivel 20
2026-03-02 11:15:43,Boy Name.,Cripta rara de nivel 15
2026-03-02 11:15:48,Boy Name.,Cripta rara de nivel 15
2026-03-02 11:15:53,Boy Name.,Cripta épica de nivel 15
2026-03-02 11:15:57,Biin,Cripta épica de nivel 15
2026-03-02 11:16:02,Biin,Cripta de nivel 15
2026-03-02 11:16:06,SPARTACUS,Cripta de nivel 10
2026-03-02 11:16:11,SPARTACUS,Cripta de nivel 10
2026-03-02 11:16:15,boy oh boy,Cripta de nivel 5
2026-03-02 11:16:19,SPARTACUS,Cripta de nivel 15
2026-03-02 11:16:24,SPARTACUS,Cripta épica de nivel 20
2026-03-02 11:16:30,SPARTACUS,Cripta de nivel 15
2026-03-02 11:16:35,SPARTACUS,Cripta de nivel 15
2026-03-02 11:16:43,Malorius,Cripta de nivel 15
2026-03-02 11:16:54,SPARTACUS,Cripta de nivel 15
2026-03-02 11:17:02,SPARTACUS,Cripta de nivel 5
2026-03-02 11:17:13,SPARTACUS,Cripta de nivel 5
2026-03-02 11:17:23,Malorius,Cripta de nivel 15
2026-03-02 11:35:38,Malorius,Cripta de nivel 15
2026-03-02 11:35:46,Malorius,Cripta de nivel 15
2026-03-02 11:35:57,Malorius,Cripta de nivel 15
2026-03-02 11:36:03,Malorius,Cripta de nivel 15
2026-03-02 11:36:10,Malorius,Cripta de nivel 15
2026-03-02 11:36:16,Malorius,Cripta de nivel 15
2026-03-02 11:36:20,Malorius,Cripta de nivel 15
2026-03-02 11:36:24,Malorius,Cripta de nivel 10
2026-03-02 11:36:28,Malorius,Cripta de nivel 15
2026-03-02 11:36:32,Malorius,Cripta de nivel 15
2026-03-02 11:36:37,Malorius,Cripta de nivel 15
2026-03-02 11:36:41,Malorius,Cripta de nivel 10
2026-03-02 11:36:45,Malorius,Cripta de nivel 15
2026-03-02 11:36:49,Malorius,Cripta de nivel 10
2026-03-02 11:36:56,Malorius,Cripta de nivel 10
2026-03-02 11:37:00,Malorius,Cripta de nivel 10
2026-03-02 11:37:04,Malorius,Cripta de nivel 20
2026-03-02 11:37:08,Malorius,Cripta de nivel 10
2026-03-02 11:37:13,byluir2003,Cripta de nivel 10
